2024-10-30 19:45:47,571 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 935.3}
2024-11-03 18:18:42,490 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 479.97}
2024-11-03 18:18:47,502 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 787.04}
2024-11-03 18:18:52,519 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 164.38}
2024-11-03 18:18:57,534 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 751.37}
2024-11-03 18:19:02,556 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 180.27}
2024-11-03 18:19:07,580 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 950.32}
2024-11-03 18:19:12,590 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 375.16}
2024-11-03 18:19:17,598 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 292.25}
2024-11-03 18:19:22,615 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 594.08}
2024-11-03 18:19:27,625 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 31.49}
2024-11-03 18:19:32,644 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 51.25}
2024-11-03 18:19:37,667 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 572.45}
2024-11-03 18:19:42,685 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 337.66}
2024-11-03 18:19:47,689 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 25.83}
2024-11-03 18:19:52,699 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 221.11}
2024-11-03 18:19:57,717 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 211.13}
2024-11-03 18:20:02,735 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 789.43}
2024-11-03 18:20:07,751 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 357.36}
2024-11-03 18:20:12,759 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 672.02}
2024-11-03 18:20:17,784 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 744.14}
2024-11-03 18:20:22,794 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 912.17}
2024-11-03 18:20:27,805 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 236.36}
2024-11-03 18:20:32,821 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 265.32}
2024-11-03 18:20:37,838 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 973.56}
2024-11-03 18:20:42,849 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 389.71}
2024-11-03 18:20:47,871 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 945.13}
2024-11-03 18:20:52,876 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 135.96}
2024-11-03 18:20:57,885 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 50.9}
2024-11-03 18:21:02,902 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 243.54}
2024-11-03 18:21:07,914 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 769.53}
2024-11-03 18:21:12,928 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 508.45}
2024-11-03 18:21:17,944 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 362.86}
2024-11-03 18:21:22,964 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 195.67}
2024-11-03 18:21:27,987 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 117.91}
2024-11-03 18:21:32,991 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 955.13}
2024-11-03 18:21:38,000 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 730.22}
2024-11-03 18:21:43,010 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 422.25}
2024-11-03 18:21:48,030 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 275.79}
2024-11-03 18:21:53,049 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 566.71}
2024-11-03 18:21:58,075 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 984.38}
2024-11-03 18:22:03,090 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 24.12}
2024-11-29 09:12:31,252 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 975.45}
2024-11-29 09:12:36,259 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 736.7}
2024-11-29 09:12:41,262 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 223.53}
2024-11-29 09:12:46,265 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 802.44}
2024-11-29 09:12:51,267 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 269.45}
2024-11-29 09:12:56,269 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 153.91}
2024-11-29 09:13:01,271 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 894.85}
2024-11-29 09:13:06,274 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 636.24}
2024-11-29 09:13:11,276 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 423.63}
2024-11-29 09:13:16,278 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 398.06}
2024-11-29 09:13:21,281 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 197.7}
2024-11-29 09:17:17,550 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 702.4}
2024-11-29 09:17:22,554 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 531.73}
2024-11-29 09:17:27,558 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 106.29}
2024-11-29 09:17:32,567 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Fault, Data: {'pressure': 366.09}
2024-11-29 09:19:11,730 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 422.97}
2024-11-29 09:19:16,796 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 599.66}
2024-11-29 09:19:21,915 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Normal, Data: {'pressure': 778.77}
2024-11-29 09:25:21,108 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 775.34}
2024-11-29 09:25:26,116 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 810.18}
2024-11-29 09:25:31,181 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 494.96}
2024-12-02 20:47:46,081 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 833.31}
2024-12-02 20:47:51,147 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 682.12}
2024-12-02 20:47:56,194 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 336.81}
2024-12-02 20:48:01,308 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 793.64}
2024-12-02 20:48:06,406 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 376.12}
2024-12-02 20:48:11,534 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 392.56}
2024-12-02 20:48:16,697 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 776.58}
2024-12-02 20:48:21,787 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 226.54}
2024-12-02 20:48:26,887 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 996.51}
2024-12-02 20:48:31,985 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 779.17}
2024-12-02 20:48:37,063 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 406.31}
2024-12-02 20:48:42,141 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 985.99}
2024-12-02 20:48:47,196 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 817.71}
2024-12-02 20:48:52,229 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 699.47}
2024-12-02 20:48:57,318 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 542.48}
2024-12-02 20:49:02,397 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 470.67}
2024-12-02 20:49:07,481 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 625.14}
2024-12-02 20:49:12,539 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 211.16}
2024-12-02 20:49:17,650 - Sensor_PRESS_001 - INFO - Sensor ID: PRESS_001, Sensor Type: Pressure, Status: Warning, Data: {'pressure': 814.47}
