2024-11-03 12:35:17,093 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 375.15}
2024-11-03 18:18:37,478 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 570.3}
2024-11-03 18:18:42,491 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 223.28}
2024-11-03 18:18:47,504 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 274.64}
2024-11-03 18:18:52,523 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 557.24}
2024-11-03 18:18:57,537 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 985.0}
2024-11-03 18:19:02,563 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 203.99}
2024-11-03 18:19:07,586 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 817.77}
2024-11-03 18:19:12,591 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 663.28}
2024-11-03 18:19:17,601 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 385.65}
2024-11-03 18:19:22,616 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 47.07}
2024-11-03 18:19:27,627 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 194.18}
2024-11-03 18:19:32,648 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 127.11}
2024-11-03 18:19:37,673 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 752.67}
2024-11-03 18:19:42,687 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 838.71}
2024-11-03 18:19:47,691 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 454.95}
2024-11-03 18:19:52,705 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 857.35}
2024-11-03 18:19:57,720 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 573.26}
2024-11-03 18:20:02,741 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 319.05}
2024-11-03 18:20:07,753 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 509.77}
2024-11-03 18:20:12,765 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 676.59}
2024-11-03 18:20:17,788 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 528.12}
2024-11-03 18:20:22,796 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 475.68}
2024-11-03 18:20:27,812 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 822.39}
2024-11-03 18:20:32,822 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 875.48}
2024-11-03 18:20:37,840 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 70.95}
2024-11-03 18:20:42,854 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 613.36}
2024-11-03 18:20:47,873 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 805.56}
2024-11-03 18:20:52,878 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 991.54}
2024-11-03 18:20:57,891 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 247.24}
2024-11-03 18:21:02,906 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 953.95}
2024-11-03 18:21:07,916 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 122.48}
2024-11-03 18:21:12,930 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 3.09}
2024-11-03 18:21:17,947 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 262.13}
2024-11-03 18:21:22,969 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 778.97}
2024-11-03 18:21:27,989 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 961.74}
2024-11-03 18:21:32,993 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 513.63}
2024-11-03 18:21:38,001 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 231.43}
2024-11-03 18:21:43,011 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 841.85}
2024-11-03 18:21:48,034 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 483.46}
2024-11-03 18:21:53,051 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 583.69}
2024-11-03 18:21:58,077 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 907.48}
2024-11-03 18:22:03,091 - Sensor_LIGHT_001 - INFO - Sensor ID: LIGHT_001, Sensor Type: Light, Status: Warning, Data: {'light': 776.69}
