2024-10-30 19:45:47,571 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 15.44}
2024-11-03 18:20:42,848 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 33.25}
2024-11-03 18:20:47,870 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 33.81}
2024-11-03 18:20:52,876 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 45.1}
2024-11-03 18:20:57,884 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 38.78}
2024-11-03 18:21:02,902 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 48.49}
2024-11-03 18:21:07,914 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 22.62}
2024-11-03 18:21:12,926 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 12.7}
2024-11-03 18:21:17,943 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 38.41}
2024-11-03 18:21:22,962 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 29.76}
2024-11-03 18:21:27,986 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 30.75}
2024-11-03 18:21:32,990 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 9.03}
2024-11-03 18:21:37,998 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 32.0}
2024-11-03 18:21:43,009 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 9.36}
2024-11-03 18:21:48,028 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 28.02}
2024-11-03 18:21:53,048 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 45.32}
2024-11-03 18:21:58,074 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 47.35}
2024-11-03 18:22:03,090 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Fault, Data: {'temperature': 41.76}
2024-11-29 09:12:31,252 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 28.62}
2024-11-29 09:12:36,257 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 0.57}
2024-11-29 09:12:41,258 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 45.98}
2024-11-29 09:12:46,261 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 46.62}
2024-11-29 09:12:51,263 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 23.46}
2024-11-29 09:12:56,266 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 23.95}
2024-11-29 09:13:01,269 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 37.42}
2024-11-29 09:13:06,272 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 24.83}
2024-11-29 09:13:11,273 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 41.73}
2024-11-29 09:13:16,276 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 13.19}
2024-11-29 09:13:21,279 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Normal, Data: {'temperature': 28.11}
2024-11-29 09:17:17,538 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 45.0}
2024-11-29 09:17:22,552 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 43.84}
2024-11-29 09:17:27,557 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 0.32}
2024-11-29 09:17:32,568 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 9.62}
2024-11-29 09:19:11,729 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 7.83}
2024-11-29 09:19:16,748 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 34.9}
2024-11-29 09:19:21,883 - Sensor_TEMP_002 - INFO - Sensor ID: TEMP_002, Sensor Type: Temperature, Status: Warning, Data: {'temperature': 49.07}
